Name,Artists,Album,Duration,Popularity,Song ID,Key,Mode,Time Signature,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo
I'm so Groovy,Future,FUTURE,261751,59,2Nfd2ITp4WkI1aoZlYpZwg,1,1,4,0.0418,0.938,0.478,0.00884,0.0801,-9.739,0.265,0.386,138.059
Poppin' Tags,Future,FUTURE,218521,47,6vbafkvao6NErZDTjh2sYC,2,1,4,0.00103,0.857,0.601,1.58e-05,0.149,-5.837,0.0782,0.279,147.076
Massage In My Room,Future,FUTURE,155455,44,1baPNXuNvp5wRrmYU91OIt,1,1,4,0.0313,0.799,0.426,0.00153,0.376,-8.089,0.0727,0.171,75.538
Ain't No Time,Future,EVOL,202804,50,7givkGZW1cwM8MJYzMd2Na,7,0,4,0.00941,0.842,0.587,0.000337,0.111,-6.677,0.069,0.135,145.016
In Her Mouth,Future,EVOL,192186,45,3K0sVapHNSSeJ8o4DLHOJY,1,1,4,0.0164,0.728,0.667,2.11e-05,0.126,-7.335,0.0982,0.366,159.969
Xanny Family,Future,EVOL,185706,55,0BzDQgmeRdA4V71VhfBvXT,2,1,4,0.0344,0.838,0.412,0.000234,0.159,-7.148,0.289,0.166,75.044
Program,Future,EVOL,176186,43,5lMmp06Yt5opZrKdszyh8Y,1,0,4,0.023,0.811,0.687,4.5e-05,0.113,-6.188,0.154,0.517,76.498
Low Life (feat. The Weeknd),Future/The Weeknd,EVOL,313546,75,7EiZI6JVHllARrX9PUvAdX,8,1,4,0.337,0.722,0.331,0.283,0.146,-7.789,0.0725,0.102,143.974
Hater Shit,Future,Purple Reign,184960,43,05GDlYBejzsmn3diyYWpHW,1,1,4,0.134,0.842,0.483,0.025,0.107,-7.179,0.083,0.0736,147.952
No Charge,Future,Purple Reign,162160,44,6DXOQVJAjoeDGd5Xlb9XUY,11,0,4,0.00665,0.766,0.704,0.0115,0.216,-7.16,0.23,0.442,153.954
Thought It Was a Drought,Future,DS2 (Deluxe),265213,61,5ihDGnhQgMA0F0tk9fNLlA,2,1,4,0.00761,0.861,0.448,0.000408,0.0902,-8.256,0.111,0.0487,125.022
Where Ya At (feat. Drake),Future/Drake,DS2 (Deluxe),208026,67,5nN8BwAQDJDguq7Dpd3JQQ,1,1,4,0.0933,0.813,0.453,0,0.14,-6.941,0.338,0.191,161.997
Lil One,Future,DS2 (Deluxe),207986,47,4Bt9yX2Gq7Q1biRF45EN1C,6,0,4,0.308,0.84,0.411,0.0034,0.138,-8.24,0.212,0.155,140.013
Stick Talk,Future,DS2 (Deluxe),171333,60,20fAoPjfYltmd3K3bO7gbt,7,1,4,0.0265,0.729,0.672,0,0.244,-6.749,0.282,0.595,159.903
Trap Niggas,Future,DS2 (Deluxe),183800,60,6elNeXUhiuHPD9hH5rocQi,1,1,4,0.131,0.813,0.583,3.83e-05,0.142,-6.922,0.174,0.338,81.018
The Percocet & Stripper Joint,Future,DS2 (Deluxe),148453,60,1yCVsVH2hQ72SxNI8QTDaB,1,1,4,0.754,0.625,0.667,0.954,0.135,-5.875,0.131,0.0805,80.046
56 Nights,Future,56 Nights,227248,52,2oGY1X7Xd5kyL6B9s19D9A,1,1,4,0.107,0.847,0.522,0.000233,0.144,-6.461,0.153,0.276,122.935
Never Gon Lose,Future,56 Nights,187034,47,3XsiyMcsbIBazeYFb5SFxh,8,0,4,0.33,0.822,0.591,0,0.183,-7.609,0.324,0.123,130.955
Fetti,Future,Monster,222880,42,7gBQgznbpI6iqEprmeSfI9,5,1,4,0.0196,0.816,0.762,5.43e-05,0.138,-6.044,0.137,0.551,126.992
Gangland,Future,Monster,181346,42,3KBV7tSnPTTbnshytvafTB,10,0,4,0.204,0.744,0.698,0,0.112,-7.322,0.0986,0.279,123.959
Codeine Crazy,Future,Monster,346906,68,0joQFwiBKmi6X1Iq5R1ubH,6,0,4,0.168,0.745,0.617,0,0.389,-7.22,0.144,0.185,125.98
Heatin Up (feat. Gunna),Lil Baby/Gunna,My Turn,177314,71,7KSSdFCBHCfq4KPzz78ghk,1,1,4,0.0611,0.788,0.436,0,0.0979,-9.435,0.364,0.341,129.847
Gang Signs,Lil Baby,My Turn,169782,53,1nX1wW2WuCEnc2eDOBOaFd,0,1,4,0.0145,0.82,0.793,0,0.362,-5.77,0.0975,0.531,85.009
Runnin,21 Savage/Metro Boomin,SAVAGE MODE II,195906,86,5SWnsxjhdcEDc7LJjq9UHk,10,0,4,0.00748,0.819,0.626,0.101,0.167,-4.574,0.202,0.415,143.01
Glock In My Lap,21 Savage/Metro Boomin,SAVAGE MODE II,193591,80,6pcywuOeGGWeOQzdUyti6k,10,0,4,0.00574,0.847,0.733,1.04e-05,0.151,-6.439,0.16,0.202,130.029
Rich Nigga Shit (feat. Young Thug),21 Savage/Metro Boomin/Young Thug,SAVAGE MODE II,190331,77,3ruoIF2UnoXdzK8mR61ebq,1,0,4,0.349,0.825,0.733,0,0.112,-5.625,0.0969,0.62,97.974
Slidin,21 Savage/Metro Boomin,SAVAGE MODE II,185036,74,7fxSLnklnayJNBIKntXedZ,2,1,4,0.00163,0.774,0.706,1.28e-06,0.104,-6.494,0.355,0.382,152.891
